,"Median Age, as of 1 July (years)","Rate of Natural Change (per 1,000 population)","Crude Birth Rate (births per 1,000 population)",Total Fertility Rate (live births per woman),Net Reproduction Rate (surviving daughters per woman),"Crude Death Rate (deaths per 1,000 population)","Infant Mortality Rate (infant deaths per 1,000 live births)","Under-Five Mortality (deaths under age 5 per 1,000 live births)","Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births)","Male Mortality before Age 40 (deaths under age 40 per 1,000 male live births)","Female Mortality before Age 40 (deaths under age 40 per 1,000 female live births)","Mortality before Age 60, both sexes (deaths under age 60 per 1,000 live births)","Male Mortality before Age 60 (deaths under age 60 per 1,000 male live births)","Female Mortality before Age 60 (deaths under age 60 per 1,000 female live births)","Mortality between Age 15 and 50, both sexes (deaths under age 50 per 1,000 alive at age 15)","Male Mortality between Age 15 and 50 (deaths under age 50 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 50 (deaths under age 50 per 1,000 females alive at age 15)","Mortality between Age 15 and 60, both sexes (deaths under age 60 per 1,000 alive at age 15)","Male Mortality between Age 15 and 60 (deaths under age 60 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 60 (deaths under age 60 per 1,000 females alive at age 15)"
8769,42.899,-2.772,9.688,1.698,0.822,12.46,2.355,2.871,17.111,22.322,11.548,90.244,119.606,58.841,32.894,43.607,21.405,86.816,115.903,55.729
8848,42.264,-6.059,9.46,1.581,0.761,15.519,3.313,4.023,20.699,25.698,15.376,138.514,182.685,93.011,43.793,58.141,28.749,134.144,178.146,88.872
8927,40.292,-3.287,9.27,1.461,0.703,12.557,3.38,3.924,21.955,30.504,13.042,111.201,156.206,64.376,44.27,64.328,23.378,106.928,151.962,60.098
9006,35.156,-4.461,12.148,1.8,0.857,16.609,12.416,14.539,42.599,58.347,26.192,224.537,317.651,129.487,80.5,120.849,39.54,211.616,304.748,117.038
9085,41.515,-6.449,9.988,1.744,0.84,16.437,5.426,6.649,21.534,27.246,15.512,131.336,179.952,80.25,41.192,57.106,24.498,124.588,173.164,73.597
9164,38.951,-6.8,9.539,1.505,0.721,16.339,4.007,5.244,57.283,83.186,30.316,231.114,333.36,125.999,115.306,171.359,57.942,225.756,327.951,120.966
9243,40.059,-3.125,9.825,1.574,0.758,12.95,4.676,5.709,24.296,31.688,16.49,125.331,169.661,78.544,45.641,63.181,26.93,119.258,163.407,72.714
9322,42.853,-13.741,7.659,1.265,0.603,21.4,7.091,8.322,55.743,77.591,32.623,247.17,350.956,140.526,116.154,168.714,61.669,239.456,343.714,132.553
9401,41.291,1.459,10.917,1.719,0.831,9.458,2.933,3.312,11.952,15.036,8.724,61.209,75.433,46.582,20.391,26.147,14.491,57.629,71.492,43.397
9480,41.63,-1.572,10.118,1.676,0.808,11.69,1.781,2.316,20.573,29.479,10.828,102.808,148.237,55.27,41.778,61.236,20.601,100.061,145.194,52.887
9559,37.72,3.286,15.084,2.74,1.311,11.798,5.324,7.273,17.903,21.133,14.254,69.624,81.228,56.36,22.495,26.425,17.958,61.656,72.76,48.923
9638,42.561,-1.633,8.518,1.397,0.676,10.151,1.628,2.015,15.813,21.214,10.042,64.232,84.936,42.438,27.105,36.907,16.63,61.823,82.474,40.09
9717,39.13,2.236,9.827,1.461,0.703,7.591,6.158,7.157,15.387,15.329,15.441,49.178,55.697,42.735,16.027,16.997,15.073,41.286,48.151,34.479
9796,36.154,5.528,12.256,1.725,0.833,6.728,1.416,1.898,11.791,15.38,7.833,52.021,63.591,39.712,20.557,25.73,14.829,49.689,60.873,37.797
9875,37.953,4.871,11.472,1.763,0.852,6.601,2.451,2.831,13.255,17.353,9.168,54.155,66.836,41.55,21.674,28.453,14.987,51.021,63.549,38.584
9954,45.421,-1.877,8.584,1.571,0.75,10.461,10.397,13.169,34.362,39.663,28.895,82.145,97.393,66.537,33.994,41.388,26.615,67.288,82.065,52.221
10033,39.924,1.87,10.478,1.488,0.714,8.608,7.48,8.666,18.983,20.155,17.786,61.969,74.26,49.721,20.313,22.894,17.686,52.508,64.676,40.398
10112,43.758,-6.567,8.912,1.585,0.76,15.479,2.849,3.687,29.939,41.983,16.882,143.466,204.135,82.036,60.758,88.383,31.775,139.132,199.823,77.743
10191,43.828,-7.992,9.504,1.622,0.783,17.496,2.808,3.311,33.967,47.721,18.391,161.382,230.716,88.704,71.98,103.78,37.05,157.653,226.958,85.072
10270,39.575,2.213,9.96,1.507,0.727,7.747,1.856,2.191,12.288,16.01,8.344,49.277,59.619,38.286,19.531,25.022,13.704,46.724,56.888,35.925
10349,39.557,2.218,10.835,1.672,0.808,8.617,1.827,2.234,13.109,16.784,9.128,47.765,57.732,37.214,19.705,25.088,13.934,45.104,55.012,34.617
10428,39.847,0.941,10.039,1.566,0.756,9.098,3.214,3.739,16.722,20.819,12.499,67.555,81.752,53.37,28.669,36.127,21.143,63.419,77.345,49.532
10507,37.581,-1.078,10.116,1.376,0.654,11.194,8.186,9.157,27.544,32.086,22.709,99.317,128.238,70.424,39.528,51.066,27.794,89.15,118.03,60.363
10586,42.926,0.911,7.204,1.135,0.545,6.293,5.356,6.215,13.642,14.474,12.731,44.935,53.73,35.505,14.57,16.508,12.531,38.042,46.754,28.694
10665,42.045,-7.587,8.278,1.346,0.646,15.865,4.871,5.574,12.748,14.968,10.405,90.244,114.724,65.108,22.585,27.978,17.008,84.646,108.709,59.991
10744,43.951,-4.867,8.415,1.445,0.697,13.282,3.044,3.922,12.136,15.439,8.58,74.824,103.122,45.757,22.636,30.825,13.924,70.614,98.538,41.98
10823,41.905,2.053,10.564,1.837,0.873,8.511,8.917,11.304,28.88,33.587,23.887,66.688,79.482,53.579,27.509,33.524,21.269,53.756,65.868,41.399
10902,45.101,-5.229,7.431,1.373,0.661,12.66,3.367,3.89,15.077,20.102,9.812,74.051,101.88,47.103,26.423,36.931,15.794,69.871,97.409,43.269
11060,47.265,-3.768,6.903,1.29,0.623,10.671,2.136,2.557,10.669,13.493,7.684,47.541,59.444,35.602,17.688,22.661,12.566,44.523,56.249,32.778
11139,31.021,5.359,11.068,1.51,0.722,5.709,6.174,7.233,16.751,19.144,14.167,76.507,96.504,57.59,24.831,30.746,19.074,69.23,88.98,50.617
11218,39.293,1.828,9.115,1.199,0.576,7.287,5.341,5.959,10.929,12.267,9.336,44.45,53.791,33.884,12.515,15.387,9.082,38.292,47.57,27.791
11297,38.437,-0.609,10.934,1.677,0.805,11.543,1.204,1.846,14,17.655,10.173,100.197,134.131,66.853,31.855,41.841,22,97.829,131.554,64.744
11376,38.544,-4.248,9.547,1.374,0.655,13.795,4.935,6.723,17.334,19.813,14.697,107.823,134.748,79.946,30.643,37.417,23.515,101.084,127.5,73.811
11455,45.369,-3.187,7.796,1.366,0.661,10.983,2.408,2.93,13.156,16.972,9.346,68.929,96.454,43.455,25.722,35.286,16.705,65.596,92.907,40.38
11534,46.765,-3.681,5.936,1.138,0.548,9.617,2.389,3.04,8.654,10.544,6.653,39.147,45.574,32.946,12.618,15.203,10.008,35.736,42.032,29.674
11613,43.014,-9.749,9.211,1.529,0.732,18.96,4.42,5.711,17.47,21.542,13.2,113.204,151.382,74.584,34.943,47.761,21.708,107.462,145.39,69.17
11692,43.536,-0.898,8.89,1.628,0.786,9.788,1.418,1.874,7.277,9.019,5.303,54,72.128,34.348,15.586,20.581,9.949,51.898,69.998,32.279
11771,44.322,-1.58,7.497,1.286,0.62,9.077,2.177,2.639,10.321,13.17,7.387,53.73,70.854,36.379,18.003,23.52,12.366,50.637,67.462,33.62
11850,42.935,-0.022,9.451,1.474,0.713,9.473,2.495,3.026,13.224,17.051,9.206,59.34,75.885,42.38,21.913,28.592,15.051,55.917,72.169,39.282
11929,41.042,0.558,10.048,1.588,0.77,9.49,2.867,3.416,14.801,18.847,10.635,64.661,79.151,49.657,24.911,31.561,18.073,60.824,74.995,46.169
12008,41.795,1.015,10.416,1.788,0.866,9.401,3.298,3.914,16.112,21.204,11.068,71.682,93.913,49.663,27.522,37.02,18.161,67.383,89.371,45.643
12087,44.848,-3.223,9.139,1.533,0.74,12.362,2.961,3.523,14.703,18.347,10.794,71.682,91.429,51.172,25.375,32.911,17.515,67.678,87.167,47.456
12166,43.896,2.812,9.202,1.492,0.683,6.39,4.99,5.808,12.321,12.222,12.418,38.994,44.004,34.154,12.644,13.341,11.952,32.54,37.845,27.394
12245,38.994,3.307,10.349,1.393,0.675,7.042,3.051,3.636,11.302,14.494,7.963,57.415,73.092,40.385,18.691,23.512,13.673,53.498,68.115,37.619
12324,54.46,-10.645,8.775,2.091,1.014,19.42,3.624,4.21,8.901,9.326,8.456,28.368,33.704,23.155,9.091,10.192,8.04,23.649,28.959,18.464
12403,41.829,1.421,10.336,1.637,0.792,8.915,3.005,3.48,12.321,14.695,9.865,55.442,62.845,47.908,19.604,23.258,15.891,51.603,58.749,44.344
12482,42.094,1.94,9.917,1.498,0.725,7.977,3.097,3.535,11.401,13.974,8.707,45.612,55.566,35.337,16.501,20.905,11.947,41.677,51.533,31.509
12561,37.334,2.98,9.447,1.278,0.621,6.467,6.082,7.267,26.169,38.062,14.638,101.4,144.188,58.08,39.533,60.197,19.158,93.549,135.779,50.892
12640,35.089,5.89,11.984,1.58,0.769,6.094,4.953,6.128,22.347,28.476,16.264,88.414,112.229,67.036,31.548,41.618,22.002,81.565,104.913,60.727
12719,41.468,-3.906,7.178,1.179,0.566,11.084,12.554,14.577,36.786,46.502,27.079,115.848,153.372,81.647,43.635,60.118,28.702,100.781,137.216,67.946
12798,32.791,4.081,11.379,1.38,0.665,7.298,10.109,11.901,59.144,78.507,40.569,181.028,231.923,132.191,89.912,119.958,61.462,169.131,219.573,120.957
12877,39.207,1.669,10.783,1.634,0.788,9.114,10.405,11.497,37.615,44.393,30.818,112.475,133.701,92.499,50.215,59.336,41.459,100.496,120.529,81.857
12956,39.576,0.344,10.651,1.647,0.787,10.307,12.812,14.879,33.421,38.027,28.563,110.401,132.952,85.146,37.325,43.53,30.716,94.827,115.923,71.16
13035,38.757,1.125,7.64,1.015,0.486,6.515,13.733,16.182,31.727,42.077,21.648,98.608,128.713,69.23,31.528,43.152,20.992,81.977,109.081,56.023
13114,37.694,3.203,9.767,1.216,0.585,6.564,7.336,8.757,35.482,41.314,29.277,128.007,150.145,104.153,52.581,60.298,44.29,118.299,139.003,96.011
13193,41.219,-0.963,8.889,1.449,0.692,9.852,4.017,5.001,25.081,31.018,18.747,104.797,131.835,77.352,41.034,52.442,29.132,98.579,125.079,71.766
13272,36.063,2.125,11.435,1.647,0.792,9.31,7.85,9.369,31.252,39.947,21.569,105.882,147.609,68.262,40.628,55.489,25.922,94.929,135.232,59.051
13351,31.947,4.357,13.278,1.588,0.764,8.921,11.42,13.571,45.231,57.873,32.383,154.923,191.477,115.861,62.403,75.77,48.781,140.666,173.268,106.065
13430,27.426,12.043,18.111,2.247,1.06,6.068,24.351,30.19,70.321,88.314,51.498,169.282,211.277,124.734,75.641,100.136,49.95,141.88,182.338,99.21
13509,31.226,7.674,15.616,1.986,0.953,7.942,12.287,15.038,36.424,42.313,30.393,140.529,173.6,105.379,50.776,63.041,37.904,126.072,158.459,91.726
13588,42.235,1.181,11.404,2.033,0.99,10.223,4.384,4.805,20.447,28.346,13.821,87.375,125.637,57.932,35.234,52.238,23.027,82.414,120.253,53.512
13667,23.247,14.666,23.146,2.773,1.249,8.48,43.375,56.675,132.565,155.518,108.907,293.635,346.441,238.585,126.183,154.824,96.958,241.185,291.572,189.498
13746,31.296,2.744,11.531,1.34,0.643,8.787,11.279,13.5,48.787,61.412,35.584,189.572,225.912,153.383,77.551,95.906,58.553,176.485,211.684,141.668
13825,46.614,0.393,9.536,1.906,0.93,9.143,6.246,8.787,20.48,25.57,15.639,70.086,96.14,48.757,25.758,36.083,17.483,60.872,86.151,40.445
13904,43.404,-2.188,9.071,1.565,0.75,11.259,10.321,12.289,32.596,34.892,28.974,110.013,128.891,90.741,40.968,49.452,30.892,97.219,118.433,75.398
13983,44.308,-3.136,8.033,1.283,0.618,11.169,6.843,8.444,29.4,42.931,16.66,107.553,156.091,61.325,43.309,67.64,20.704,99.069,147.199,53.416
14062,39.08,2.759,8.352,1.021,0.494,5.593,7.567,8.749,19.626,22.604,16.423,67.436,83.769,46.408,21.75,26.192,16.556,57.899,73.302,37.861
14141,34.436,1.745,11.823,1.512,0.724,10.078,7.825,10.236,51.328,66.276,37.478,179.871,237.995,121.134,79.528,111.647,48.59,168.518,229.033,107.04
14220,33.501,1.165,11.316,1.387,0.668,10.151,11.934,14.565,50.106,66.138,33.474,175.955,228.605,121.098,72.07,97.36,45.97,161.17,212.896,107.522
14299,38.848,9.313,14.414,2.385,1.154,5.101,7.696,8.898,19.777,22.894,16.647,64.976,84.577,46.881,21.09,26.434,16.704,55.26,73.953,38.191
14378,33.084,-1.278,12.726,1.778,0.853,14.004,12.467,14.853,51.513,63.366,39.163,227.766,269.928,180.287,94.646,118.202,69.944,214.57,256.369,167.534
14457,47.139,0.316,8.152,1.572,0.754,7.836,13.94,16.246,37.653,42.725,30.29,123.911,149.785,94.076,43.531,49.686,33.807,106.873,130.994,79.494
14536,35.945,3.285,11.382,1.614,0.772,8.097,14.957,16.958,52.791,67.583,37.241,165.635,207.201,122.486,71.278,93.307,48.247,149.38,190.175,107.204
14615,37.71,3.23,12.27,1.658,0.794,9.04,11.389,13.639,34.33,44.797,23.777,120.963,151.238,88.037,43.139,54.245,31.155,106.792,133.891,77.332
14694,42.804,-2.943,11.212,2.11,1.023,14.155,5.305,6.196,36.646,56.682,17.83,131.058,201.291,62.603,54.703,87.827,24.097,121.997,190.398,55.91
14773,25.557,11.51,17.763,1.989,0.947,6.253,10.075,12.042,68.513,93.433,42.622,216.953,274.201,155.916,101.634,140.048,61.895,204.997,261.877,144.538
14852,33.336,4.573,11.686,1.522,0.735,7.113,6.845,7.998,32.626,44.314,20.364,106.615,138.849,73.255,47.152,65.804,27.728,98.12,130.016,65.167
14931,26.683,7.63,15.803,1.785,0.852,8.173,9.895,11.777,74.404,111.996,37.157,213.111,301.709,134.115,112.031,176.182,53.675,201.217,290.111,122.386
15010,22.418,14.094,20.861,2.354,1.11,6.767,19.825,23.833,78.627,99.078,57.54,246.759,301.32,193.957,111.47,146.321,76.549,225.569,280.029,173.23
15089,23.778,15.446,20.85,2.34,1.111,5.404,12.763,15.391,50.543,59.073,41.588,182.55,215.193,149.664,71.949,84.74,58.669,166.999,198.67,135.295
15168,29.387,7.931,14.636,1.803,0.866,6.705,10.887,12.881,56.097,79.613,32.784,158.506,210.91,106.846,76.622,112.196,41.773,145.256,196.939,94.594
15247,24.893,15.363,20.018,2.284,1.097,4.655,12.271,14.664,51.355,68.64,34.029,150.436,196.345,105.15,68.58,96.648,41.026,135.445,180.183,91.63
15326,29.081,11.496,17.4,2.297,1.09,5.904,12.711,16.721,57.475,76.258,37.824,136.357,173.213,97.949,64.503,87.448,40.657,118.751,154.067,82.182
15405,31.567,5.205,13.794,1.876,0.898,8.589,8.825,10.272,36.114,44.183,27.637,124.554,153.387,94.937,50.67,63.528,37.276,113.958,142.424,84.787
15484,24.134,12.537,21.599,2.584,1.2,9.062,24.939,33.18,86.485,99.888,72.523,277.678,331.741,220.018,108.402,131.568,84.365,247.807,302.057,190.222
15563,33.209,4.51,12.649,1.626,0.777,8.139,12.256,13.825,55.482,73.337,36.981,170.103,217.213,122.274,80.288,107.964,52.011,156.567,203.038,109.601
15642,35.246,4.556,11.755,1.539,0.744,7.199,4.947,5.824,26.749,33.862,19.411,97.772,123.63,71.309,41.253,54.274,27.832,91.29,117.232,64.749
15721,31.171,6.512,13.921,1.692,0.808,7.409,10.886,12.887,61.589,85.253,37.092,162.683,209.903,114.286,81.25,113.715,47.952,149.006,195.552,101.507
15800,27.926,11.733,16.583,2.003,0.958,4.85,10.69,12.661,48.723,64.442,32.383,118.677,147.994,88.497,56.364,75.754,36.389,104.178,132,75.706
15879,39.913,3.949,11.088,1.58,0.765,7.139,9.047,10.48,22.866,23.462,22.328,74.98,85.391,62.582,24.413,26.453,22.382,63.67,74.28,51.061
15958,23.807,20.967,24.913,3.469,1.682,3.946,7.553,8.998,25.629,34.025,17.347,95.321,124.507,66.143,34.556,46.873,22.585,85.687,113.61,57.933
16037,25.713,10.135,19.897,2.369,1.112,9.762,23.559,28.757,89.325,108.17,70.965,290.35,355.097,225.403,127.762,162.489,94.68,267.074,331.25,203.313
16116,25.898,12.891,20.328,2.444,1.156,7.437,16.358,19.492,59.798,74.522,44.374,203.365,250.498,154.427,83.208,106.423,58.974,185.225,231.526,137.421
16195,28.446,9.871,17.376,2.164,1.033,7.505,9.705,12.113,50.338,61.547,39.288,169.303,200.772,137.299,74.155,92.336,56.082,156.026,187.203,124.403
16274,28.05,9.346,17.983,2.322,1.105,8.637,16.117,18.044,59.415,70.272,48.05,218.103,264.632,168.199,90.055,110.342,68.651,201.836,247.547,152.987
16353,35.449,0.54,10.419,1.483,0.711,9.879,5.774,6.933,35.843,47.948,23.173,116.173,148.864,82.893,51.206,67.848,34.027,108.524,140.742,75.814
16432,28.229,7.473,15.573,2.188,1.036,8.1,14.761,17.546,86.765,125.185,44.867,195.856,260.476,126.842,103.721,150.689,53.262,178.519,242.597,110.413
16511,45.319,-1.67,7.503,1.367,0.665,9.173,2.11,2.662,17.846,24.443,11.373,75.004,97.853,51.519,31.428,42.178,20.648,71.69,93.774,49.05
16590,40.381,2.044,9.814,1.466,0.706,7.77,3.936,4.584,20.308,25.534,14.798,66.699,81.397,51.657,28.624,36.686,20.314,61.63,76.109,46.829
16669,34.171,5.147,14.092,1.958,0.932,8.945,8.589,10.361,50.295,59.38,40.675,173.1,206.538,133.069,76.638,91.085,60.139,161.699,194.039,122.899
16748,43.985,-4.455,7.575,1.559,0.752,12.03,7.772,9.248,25.744,37.476,13.043,95.153,134.69,50.598,33.899,51.277,15.398,85.354,122.763,43.226
16827,37.889,1.723,11.033,1.661,0.799,9.31,5.035,5.919,38.839,51.107,26.03,130.37,162.649,96.875,59.802,77.856,41.03,124.146,156.092,91.048
16906,37.238,4.684,11.5,1.599,0.771,6.816,2.812,3.384,16.409,21.146,11.565,60.203,75.013,45.409,26.437,34.307,18.484,56.321,70.853,41.836
16985,36.699,5.833,12.378,1.762,0.85,6.545,3.496,4.153,19.036,23.547,14.373,66.797,80.076,53.631,28.713,35.889,21.48,62.083,75.041,49.27
17064,26.977,10.896,19.131,2.462,1.147,8.235,17.931,21.686,56.56,61.303,51.62,229.337,260.876,195.674,84.13,94.838,72.947,209.256,240.041,176.54
17143,33.582,8.869,14.135,2.001,0.957,5.266,9.384,10.896,29.714,39.911,19.342,91.011,121.792,59.535,36.345,53.988,18.734,79.504,109.649,48.788
17222,21.973,18.653,25.112,3.165,1.422,6.459,33.837,42.378,105.902,122.639,87.873,261.783,309.742,207.356,112.558,137.347,86.079,222.471,269.868,168.941
17301,19.373,24.434,29.322,3.925,1.826,4.888,15.567,18.531,61.278,67.827,54.373,183.005,204.969,158.866,75.927,83.691,67.995,162.604,182.723,140.567
17380,19.543,23.656,28.968,3.697,1.717,5.312,18.829,22.795,64.041,73.653,54.495,188.76,222.715,155.211,77.825,91.394,63.906,165.913,198.814,133.745
17459,29.94,9.824,16.374,2.55,1.208,6.55,9.705,11.343,38.356,47.968,27.809,141.382,182.613,96.614,58.809,79.264,37.479,129.629,171.278,84.415
17538,22.034,20.541,26.723,3.271,1.472,6.182,37.427,46.994,99.186,109.779,88.387,228.375,257.387,200.453,90.859,101.473,81.117,183.808,209.479,159.951
17617,25.472,10.605,18.524,2.672,1.202,7.919,24.51,29.906,113.368,115.994,110.679,294.064,320.674,265.207,143.484,150.86,135.982,265.587,291.677,237.362
17696,23.68,14.409,20.684,2.669,1.247,6.275,18.921,22.816,62.656,80.878,42.921,184.665,241.664,125.344,75.376,102.876,46.566,162.018,217.387,104.976
17775,20.271,20.203,26.785,3.463,1.57,6.582,15.337,19.029,124.793,144.239,104.233,340.175,411.944,261.057,183.541,224.981,139.206,321.454,394.796,240.696
17854,38.709,6.076,12.183,2.148,0.985,6.107,5.913,7.306,24.491,27.922,20.223,94.403,108.139,78.557,35.167,39.823,29.393,86.262,99.541,70.965
17933,35.785,1.512,14.934,2.373,1.078,13.422,14.629,17.243,111.084,125.991,93.534,315.93,375.86,241.236,167.559,199.091,127.543,298.997,359.714,223.343
18012,28.254,10.153,17.12,2.254,1.077,6.967,7.038,9.812,35.067,46.139,24.158,149.014,185.719,111.436,58.155,73.746,42.742,139.02,173.906,103.593
18091,33.267,7.681,16.11,2.226,1.063,8.429,5.662,6.79,38.212,54.55,24.647,144.105,198.303,91.547,63.228,93.167,37.168,136.467,190.724,83.946
18170,33.454,8.91,12.55,1.688,0.812,3.64,5.355,6.214,13.596,14.651,12.516,44.957,54.37,34.842,14.502,16.706,12.281,38.064,47.312,28.126
18249,35.936,0.226,14.007,2.415,1.118,13.781,19.441,23.488,60.909,66.917,56.243,178.754,197.088,159.429,70.382,75.611,66.667,155.094,171.447,137.961
18328,20.639,21.547,26.997,3.875,1.812,5.45,15.076,17.991,50.563,60.038,40.747,160.007,191.932,124.525,62.983,76.674,48.685,141.627,172.458,107.452
18407,26.662,11.246,18.543,2.673,1.285,7.297,4.722,5.937,38.479,36.018,40.942,137.378,138.518,137.223,61.563,57.267,65.838,129.968,130.622,130.308
18486,21.714,16.009,22.894,3.193,1.482,6.885,9.182,10.915,61.043,69.793,52.856,201.613,240.088,162.637,93.789,111.406,77.66,189.669,227.862,151.131
18565,25.032,13.215,23.318,3.144,1.432,10.103,17.61,21.17,114.479,137.31,88.679,322.21,393.821,230.433,166.314,209.391,115.979,302.188,374.681,209.364
18644,36.27,4.974,11.61,1.929,0.922,6.636,9.779,11.358,21.408,16.566,26.21,75.77,74.694,77.353,23.371,21.358,25.034,64.203,66.538,62.191
